image_x image_y
470.770477 92.662941
465.074921 126.173813
459.034393 162.427887
452.018280 201.163574
444.205597 242.590698
434.938690 286.815582
425.614990 332.786316
415.008911 380.616364
403.840118 428.988953
430.915466 88.035713
424.132141 120.570473
416.695374 156.288208
408.030518 194.382416
399.075928 234.966370
388.740204 278.194519
378.411438 323.478485
367.236206 370.258484
355.460144 417.781067
392.037292 84.097824
383.991882 116.021584
375.191040 150.695145
365.395264 188.270859
355.348267 227.894867
343.869110 270.081970
332.482422 313.978577
321.073151 359.678833
308.987122 406.027435
354.700775 80.466515
345.003143 112.225471
335.094299 145.969849
324.255310 182.357269
313.186707 221.026642
301.135590 262.028442
289.185516 304.920502
276.847656 349.362152
264.805389 394.451385
318.233490 77.657684
307.725555 108.321701
296.509857 141.599213
285.134613 177.068604
273.364929 214.413757
260.527466 254.410568
248.018616 295.861298
235.352112 338.788208
223.156250 382.390594
283.745758 75.446442
272.342133 105.513680
260.658203 137.955139
248.291580 172.210358
235.698822 208.384720
223.210968 246.623856
210.006378 287.071808
196.981430 328.564758
184.586487 370.766937
