image_x image_y
219.159607 85.809753
263.172424 93.295815
305.018250 100.866112
344.901642 108.554352
381.630859 116.148766
416.181702 123.633736
448.092621 130.754227
477.686310 137.790405
504.662964 144.423904
211.830688 131.082962
256.005737 137.547241
298.051849 143.972702
337.671722 150.131104
374.663147 156.461838
409.300873 162.429901
441.267609 168.325302
470.888672 173.925415
498.413910 179.241974
205.363434 176.259735
249.337631 181.665604
291.195770 186.625015
330.596466 191.828598
367.581909 196.520966
401.971313 201.388077
434.224945 205.767303
464.129639 209.946091
491.643524 213.926300
199.319672 220.829514
242.892944 224.983566
284.494995 228.990753
323.684784 232.562393
360.441284 235.996750
394.800629 239.506760
427.109192 242.419937
456.817474 245.574799
484.404327 248.022324
194.380569 264.187592
237.112778 267.392365
278.161285 270.022797
316.971985 272.558777
353.446838 274.644684
387.614075 276.738007
419.698456 278.539917
449.517334 280.185059
476.777527 281.623352
189.710709 305.796234
231.829041 307.902374
272.306946 309.611115
310.616333 310.795624
346.642700 311.844849
380.435364 312.799683
412.128662 313.503662
441.891998 313.924347
469.210602 313.922607
