image_x image_y
368.945251 137.717377
358.262909 169.270660
347.226257 201.922958
336.158966 234.715927
324.868286 267.400116
313.974030 300.363159
303.032745 332.839478
292.138062 365.081848
281.852814 396.453094
338.393311 130.031067
327.589691 161.106461
316.638611 192.946899
305.577179 224.783066
294.557861 257.008087
283.830383 288.995728
273.109985 321.055664
262.504211 352.670319
252.550720 383.348083
309.151367 123.098152
298.238159 153.308990
287.497162 184.195236
276.385315 215.442612
265.675018 246.753677
255.018433 278.355621
244.647141 309.341980
234.598434 340.468323
224.974854 370.706116
281.304871 116.767570
270.319611 146.162781
259.577332 176.273483
248.766174 206.749557
238.345657 237.197830
228.075790 267.854187
217.981522 298.321960
208.375031 328.669098
199.024658 358.292664
254.896866 110.701958
244.163757 139.414352
233.393173 168.799591
222.705017 198.466888
212.340836 228.106262
202.463760 257.903839
192.604065 287.598206
183.207916 317.088379
174.338333 346.276886
230.195190 105.468979
219.328781 133.378235
208.826309 161.633530
198.458649 190.618118
188.293503 219.372955
178.524734 248.568817
169.135178 277.378784
160.125473 306.421478
151.642014 334.576996
