image_x image_y
244.427383 94.164635
274.415375 92.193214
305.470337 90.343567
338.298828 88.894043
371.668640 87.911644
406.474060 86.779526
441.620605 86.319160
477.633301 86.298080
513.790466 86.547897
244.905624 126.244522
274.776459 124.899666
306.070343 124.042297
338.612122 123.164009
372.183014 122.228226
406.629425 122.189003
442.104401 122.084091
478.018158 122.202682
514.239624 122.793251
245.369766 158.277435
275.308502 158.127991
306.519562 157.629456
338.892853 157.441101
372.400757 157.403549
406.790863 157.517731
442.080383 157.814301
477.828094 158.364441
513.874146 159.382660
246.379303 190.363281
275.815674 190.565399
307.161743 191.035843
339.275848 191.556961
372.485992 191.993805
406.720093 192.449371
441.734314 193.649429
477.427124 194.345718
513.127808 195.574051
247.374771 222.263687
276.908112 223.399628
307.542755 224.299072
339.514648 225.375076
372.670441 226.335403
406.601440 227.615356
441.271759 228.592880
476.707794 230.059372
511.820709 231.556747
248.826157 253.611679
277.619781 255.089630
308.509857 256.559448
340.039215 258.271179
372.708710 259.922089
406.190460 261.656006
440.495819 263.223206
475.316223 264.655884
510.376373 266.227783
