image_x image_y
277.237061 72.269997
313.939606 81.249535
352.940216 91.140068
393.283936 102.036148
434.697815 113.543365
477.091034 126.439209
519.733948 139.496155
562.248718 153.643738
603.683472 168.417206
259.970123 105.361206
297.556000 115.227577
337.187927 126.312798
378.402405 138.081207
421.110748 150.842224
464.472260 164.513077
508.438812 178.667694
552.331787 193.270538
595.418701 208.182999
242.425095 140.828812
280.187286 151.829224
320.479614 163.884109
362.615021 177.010223
405.973083 190.748169
450.619019 205.330048
495.902008 220.202103
541.264709 235.248032
585.335205 250.949371
224.147003 177.926529
262.464600 190.623840
303.177277 203.937027
345.836975 218.222794
389.873535 233.030457
435.557068 248.458847
481.969849 264.095428
528.229736 279.959076
573.617920 295.598267
205.945892 217.005707
244.214493 231.033035
284.953156 245.695587
328.001312 261.450806
373.068756 277.261047
419.473816 293.719421
466.537811 310.357666
513.723450 326.691589
559.816101 342.797333
187.320999 257.386444
225.444397 272.836761
266.614044 289.141724
309.911591 305.988495
355.342804 323.174255
402.144226 340.555481
449.802826 357.744843
497.747467 374.612488
544.669128 390.711487
