image_x image_y
188.627747 130.606995
223.331680 127.136192
260.371704 123.677956
299.382324 120.227600
340.174683 117.267448
382.429688 114.441666
425.805603 112.217316
470.267853 110.191475
514.567932 109.264969
185.587296 168.278000
220.889771 165.810028
258.509888 163.211731
298.140808 160.658173
339.472565 158.398239
382.669708 156.336624
426.996674 154.540100
472.400909 153.276703
517.550354 152.210342
183.342285 207.505295
218.794189 205.838638
256.950256 204.289688
297.102966 202.832535
338.893188 201.510590
382.743805 200.226868
427.861694 198.925964
474.015076 198.053207
519.860718 197.193085
181.295731 247.404755
217.211594 246.805389
255.435455 246.487976
296.157990 246.083862
338.543976 245.708466
382.698059 245.286072
428.490753 244.582092
474.936005 244.186096
521.348938 243.608002
180.095444 287.886383
216.153427 288.632080
254.652786 289.607971
295.263824 290.240936
338.132446 290.721405
382.552521 291.321533
428.621857 291.473816
475.357697 291.314148
522.068481 290.883453
179.376846 328.296722
215.332245 330.356506
253.845627 332.370941
294.693420 334.300140
337.573456 335.884186
382.229797 337.240936
428.243561 337.979706
475.023438 338.216858
521.990540 338.136963
