image_x image_y
436.259583 49.699986
449.011230 78.180222
462.571716 108.915993
476.948853 142.766434
492.485229 180.499146
508.619110 221.455215
525.287903 265.947205
542.243896 313.768127
559.321655 364.658875
397.801849 58.165550
408.589111 86.497490
420.370972 117.985435
433.072998 153.130630
446.780945 191.137970
461.196075 233.089447
476.192169 278.562347
491.849396 327.799652
507.664581 379.710846
358.510193 66.799561
367.654449 95.862045
377.363129 127.677719
388.219666 163.516144
399.869843 202.391235
412.285095 245.078369
425.462006 291.363983
439.621002 341.674957
453.642456 394.395355
319.037598 76.326996
326.204102 105.533226
333.996490 138.161118
342.850220 174.553375
352.189301 213.928146
362.812683 257.066559
373.836212 303.999146
385.848480 354.829865
398.251526 407.788635
279.405548 86.537590
284.856262 116.392090
290.761627 149.293610
297.454742 185.815857
304.810211 225.447861
312.908478 269.177307
322.136200 316.452820
332.176453 367.361298
342.940186 420.719391
241.044571 96.839554
244.424164 126.975998
248.104996 160.416550
253.015549 196.987534
258.291443 237.265671
264.443237 280.872681
271.615753 327.970947
279.491943 378.849976
288.693634 431.722931
