image_x image_y
1171.453003 189.896423
1249.023926 180.845200
1329.129272 172.046814
1411.613770 163.488297
1496.205078 155.259537
1582.565552 147.540741
1670.341919 140.349731
1177.784912 269.474579
1255.047241 261.933105
1334.862671 254.495499
1417.036987 247.273666
1501.369873 240.292419
1587.479004 233.651627
1674.943726 227.507797
1183.890869 348.481567
1260.786865 342.380249
1340.196533 336.382080
1421.956787 330.483215
1505.837524 324.819397
1591.515015 319.363098
1678.616333 314.252319
1189.775391 426.673737
1266.167847 422.035797
1345.051147 417.450623
1426.303589 412.880707
1509.635742 408.464020
1594.784546 404.199677
1681.291748 400.182251
1195.424683 503.798126
1271.274658 500.569977
1349.550293 497.348907
1430.185181 494.127106
1512.861206 491.005737
1597.290771 487.949982
1683.138062 484.987457
1200.824707 579.640869
1276.043579 577.789551
1353.649902 575.886536
1433.531250 574.026306
1515.458496 572.140686
1599.120117 570.239502
1684.092529 568.319519
1206.010132 654.037109
1280.520508 653.504944
1357.400513 652.953247
1436.468384 652.317200
1517.494141 651.603821
1600.222412 650.793030
1684.317871 649.911682
