image_x image_y
192.527405 437.285309
274.979340 429.353851
359.300659 421.684875
445.151764 414.298584
532.096985 407.229095
619.687988 400.505096
707.484558 394.152130
199.135208 524.126587
281.579651 516.682983
365.977600 509.280670
451.806549 502.045166
538.749207 494.975098
626.335327 488.059845
714.059570 481.395142
206.955566 610.949524
289.352386 603.875305
373.629150 596.774902
459.352020 589.630981
546.140259 582.518616
633.550415 575.460449
721.089111 568.520264
215.988937 697.318665
298.127533 690.644958
382.219238 683.785767
467.667542 676.773315
554.178040 669.661316
641.266479 662.452942
728.492493 655.195984
226.104385 782.817871
308.041534 776.550842
391.658722 770.023376
476.738953 763.135803
562.835449 756.004272
649.485107 748.615723
736.268433 741.078247
237.356491 867.198486
318.724548 861.382446
401.948883 855.060974
486.466400 848.352661
572.000671 841.227112
658.117981 833.721741
744.346191 825.947327
249.466888 950.161438
330.380402 944.742249
412.963379 938.701721
496.851166 932.121338
581.778625 924.997681
667.189148 917.392395
752.702026 909.432800
