image_x image_y
1001.694580 416.688629
1091.327026 407.096161
1182.554077 397.573853
1275.155762 388.239044
1368.700806 379.076111
1462.654297 370.196838
1556.619263 361.682526
1011.089966 506.866760
1100.381714 498.246429
1191.304321 489.576904
1283.485840 480.972870
1376.623291 472.397858
1470.263794 463.967285
1563.850342 455.731049
1020.476257 596.282654
1109.316772 588.566101
1199.747681 580.784729
1291.457031 572.865662
1384.075195 564.929199
1477.176880 556.956299
1570.269165 549.015808
1029.772095 684.467407
1118.032593 677.710266
1207.916504 670.733582
1298.988647 663.570007
1390.963257 656.218994
1483.452759 648.772034
1575.783691 641.152832
1038.964600 771.212219
1126.606689 765.354919
1215.750488 759.202515
1306.083618 752.732361
1397.294800 746.008667
1488.923828 738.975525
1580.483276 731.699036
1048.001953 856.244934
1134.901489 851.241455
1223.267212 845.844299
1312.761353 840.092285
1403.082520 833.895691
1493.743652 827.324097
1584.398682 820.351135
1056.923828 939.300903
1142.936646 935.117432
1230.440308 930.463684
1318.977051 925.349426
1408.298950 919.688904
1497.912231 913.493347
1587.401978 906.734863
