image_x image_y
635.350281 292.149719
703.374878 290.103271
773.139282 288.313110
844.493347 286.827026
917.256592 285.566956
991.305725 284.565857
1066.465820 283.896179
632.938293 363.791870
701.168945 362.509888
771.135437 361.446686
842.651306 360.599548
915.607971 359.965729
989.841553 359.521118
1065.212402 359.282257
630.988403 435.978088
699.317200 435.471802
769.412720 435.151733
841.028381 434.941620
914.111694 434.907471
988.460144 435.007416
1063.937866 435.276306
629.406738 508.523346
697.805603 508.772491
767.928833 509.168549
839.603882 509.625732
912.748047 510.203735
987.146729 510.869873
1062.682861 511.610779
628.240051 581.203247
696.585327 582.253357
766.699463 583.315857
838.381836 584.461792
911.483826 585.626465
985.889404 586.852600
1061.427734 588.091980
627.423828 653.820557
695.725403 655.649109
765.757507 657.440369
837.349609 659.254211
910.382202 661.025818
984.703125 662.796326
1060.139404 664.557495
627.024963 726.189148
695.199341 728.764832
765.100647 731.321045
836.510864 733.765991
909.420288 736.125305
983.591919 738.440063
1058.917603 740.694275
