image_x image_y
184.899063 213.706085
262.112030 214.413620
342.059174 215.670731
424.547333 217.611679
509.203156 220.187790
595.732971 223.449570
683.737000 227.351685
180.654510 299.540497
257.731049 301.214203
337.637634 303.353760
420.035706 306.067139
504.586487 309.255890
590.982117 312.962891
678.824890 317.199677
177.724503 385.470551
254.659256 388.088165
334.328552 391.080444
416.477692 394.453369
500.812073 398.239044
586.919861 402.398804
674.534546 406.932037
176.108063 471.043365
252.762695 474.586212
332.120697 478.381470
413.969055 482.443970
497.891083 486.760345
583.652588 491.342010
670.775269 496.110809
175.766327 555.945312
252.009598 560.377808
330.947144 564.932861
412.301605 569.645874
495.796539 574.477478
580.990112 579.374695
667.615540 584.404602
176.571594 639.833374
252.400818 645.064575
330.862610 650.334900
411.599518 655.665710
494.484894 660.966370
579.033813 666.265381
664.940918 671.485046
178.604492 722.364868
253.857147 728.390747
331.663635 734.342773
411.762878 740.244690
493.881012 745.978027
577.742065 751.580933
662.891052 757.008240
