image_x image_y
133.275345 89.566315
164.643814 96.875603
198.442368 105.244385
234.566360 114.303505
273.244598 124.561409
314.230103 135.745544
357.417542 147.586761
402.188110 160.843857
447.978363 175.180054
114.623741 122.641258
145.716263 131.303192
179.671387 140.783356
216.108276 151.353363
255.102539 162.755859
296.699310 175.253922
340.653564 188.666107
386.455353 202.947144
433.675568 218.086670
95.908646 157.371185
126.616272 167.401886
160.500351 178.624756
196.898819 190.583542
236.313705 203.397827
278.192657 217.424820
322.738342 232.037460
369.596191 247.633240
417.599457 263.569885
77.205681 193.829056
107.824677 205.264786
141.342545 218.034973
177.810638 231.456711
217.101929 245.966339
259.314240 261.214691
304.145752 277.485992
351.674561 294.486725
400.306702 311.526611
59.174965 231.403427
89.184769 244.700180
122.400856 258.923828
158.510818 273.965668
197.832336 290.229095
240.097000 306.866302
284.940613 324.613251
332.733032 342.726196
381.948486 360.920227
41.591282 269.661774
71.229515 284.504059
104.047600 300.371246
140.034698 316.961487
178.718445 334.841034
220.640915 353.102905
265.890228 372.191193
313.584229 391.469757
362.953003 410.802856
