image_x image_y
242.416031 150.115051
230.986557 182.283325
219.826355 214.703171
208.550888 247.215439
197.921341 279.827362
187.533859 312.138641
177.631927 344.029694
167.864090 375.218475
159.062637 405.528229
215.046829 143.375443
203.734467 174.563354
192.521439 206.023346
181.832184 237.761856
171.285568 269.205292
161.196106 300.802612
151.786469 331.826141
142.493744 362.631897
134.081436 392.355316
189.162079 137.354630
177.859283 167.329636
166.931137 197.976456
156.479874 228.936417
146.324509 259.284454
136.712860 290.011047
127.556534 320.290833
118.642014 350.204895
110.535538 379.316406
164.924667 131.552109
154.302475 160.892151
143.359726 190.549622
133.084061 220.424469
123.350616 250.239151
114.042213 279.744202
104.935379 309.207306
96.643784 338.493866
88.686043 366.902740
142.413116 126.297554
131.981125 154.730667
121.337166 183.334198
111.266159 212.476837
101.996811 241.274475
92.651154 270.279022
84.153275 298.697479
76.115479 327.152069
68.627182 354.957794
121.677437 121.598366
110.840508 148.970932
100.686211 176.995361
91.213501 204.953232
82.062706 233.005844
73.080460 260.945587
64.739967 288.916595
57.235023 316.532684
49.780975 343.388123
