image_x image_y
460.548096 144.762985
457.139954 183.786835
453.565552 222.451645
449.495728 261.369110
445.222137 299.365906
440.871460 336.394196
436.002655 372.363251
430.926788 407.576385
425.939331 440.410400
423.154327 142.669891
420.188965 180.516724
416.826538 218.655350
412.867950 256.539459
408.872498 293.743561
404.865051 330.186646
400.717102 365.632050
396.414459 399.933990
392.027588 432.497375
387.540497 141.169678
384.487549 178.214432
380.945129 215.341919
377.495819 252.186188
373.992188 288.302063
370.507477 324.076782
366.728149 358.655579
363.126801 392.335266
359.213684 424.382629
353.591827 139.867798
350.656250 175.958130
347.174225 212.121521
344.061035 247.974686
340.868256 283.308258
337.495117 317.918427
334.456421 351.950439
331.220428 384.751923
328.355865 416.349487
321.434326 138.736954
318.419861 173.826218
315.240570 208.839066
312.304718 243.815155
309.325592 278.163422
306.651672 312.151123
303.448639 345.229126
301.102661 377.342072
298.763672 408.146942
291.288361 138.238281
288.295746 172.122971
285.344849 206.190231
282.502930 240.053116
279.605042 273.452240
277.215149 306.295471
274.982483 338.638702
272.777222 369.894592
270.767426 400.079102
