image_x image_y
65.154144 106.570518
107.645050 111.940262
149.968369 117.264290
191.483017 123.134636
231.467270 128.877716
269.965027 134.964325
306.806061 140.902023
342.025513 147.228577
374.828522 153.258987
59.679592 149.921646
102.042229 154.335495
144.277878 159.627686
185.353912 164.151077
225.427139 169.614944
263.798462 174.336197
300.630646 179.528061
335.716370 184.411041
368.647797 189.422852
55.383457 193.146851
97.392418 197.460815
139.014343 201.422104
180.063278 205.558456
219.647568 209.779114
257.790405 213.659729
294.619629 217.669724
329.440430 221.568878
362.405518 225.405441
52.047466 235.343796
93.438454 238.486816
134.835876 242.311691
175.150955 245.657394
214.519165 249.075058
252.312546 252.088852
288.769196 254.956818
323.342896 257.909180
355.967499 260.419159
49.677971 276.101471
90.581604 279.299988
131.146774 282.141052
170.929611 284.742859
209.585632 287.294952
247.058807 289.493683
283.031494 291.612885
317.028839 293.389923
349.558258 294.814301
48.575645 315.415833
88.630089 317.851532
128.478210 320.125885
167.398270 322.104126
205.231705 323.869415
242.017487 325.472931
277.384369 326.339264
311.370361 327.335632
343.380005 327.924591
