image_x image_y
127.122681 366.521545
120.289444 344.382599
112.916199 319.364075
105.248840 291.915680
96.902794 261.275421
88.394943 227.355804
79.634583 189.599014
70.614120 147.588821
62.146049 101.239235
159.084045 375.620758
153.510315 353.615906
147.722794 328.866455
141.638062 301.377167
135.062088 270.453949
128.339600 236.150314
121.204163 197.709991
113.875221 154.256104
106.746704 106.498688
192.553299 385.021545
188.774536 363.291412
184.664612 338.594421
180.408661 311.013062
175.679626 280.376221
171.139069 245.535522
166.014709 206.364334
161.165054 162.232925
156.407745 113.561096
227.305557 394.092621
225.208725 372.459106
223.326096 348.269012
221.125488 320.863281
218.876999 290.250092
216.602798 255.359894
214.277267 215.993973
212.232300 171.156250
210.178528 121.155228
263.178619 402.876068
263.250824 381.699768
263.229462 357.831512
263.567413 330.659729
263.962036 299.938660
264.716309 265.408020
265.167358 226.222855
266.390259 180.967529
267.977386 130.174652
299.716583 411.276245
301.731812 390.588684
304.534027 366.813690
307.113220 340.270782
310.508545 310.189240
314.067932 275.675751
318.083160 236.364822
322.877502 191.368210
328.363098 140.419907
