image_x image_y
288.347992 59.286663
294.697083 87.346680
302.115143 118.382462
310.081940 152.799194
318.967804 191.101852
328.823242 233.479156
339.410675 279.675720
351.167786 330.161224
363.534119 384.606781
249.144424 69.801315
253.405151 97.715042
258.564636 129.821533
264.599731 164.744965
270.945343 203.282547
278.558594 245.630127
286.885681 292.532776
296.360657 343.149261
306.521179 397.540680
210.212189 80.819443
212.858795 109.327736
215.618820 141.340073
219.472900 176.463684
223.802368 215.273560
229.335114 258.084869
235.273926 304.845062
242.622345 355.548401
251.059784 409.076019
172.576324 92.094131
173.391968 121.315460
174.602966 153.123825
176.507751 188.762390
178.801376 227.482239
181.638763 270.091431
185.816345 316.226746
191.311646 366.438965
197.467194 419.615356
136.131561 103.563942
135.359772 132.872955
134.981155 165.127441
135.080978 200.549973
135.527252 239.276245
137.006210 281.488403
139.157227 327.126923
142.659592 376.368042
147.369553 428.294861
101.637398 115.430115
99.292572 144.718369
97.524162 177.099945
95.931290 212.332535
95.179924 250.637146
95.147018 292.277832
95.679787 337.367065
97.638626 385.605682
101.040489 435.733185
