image_x image_y
127.902000 110.344902
153.815704 107.796654
181.371979 105.042229
211.025436 102.468597
241.528610 100.074615
274.371368 98.094604
308.547180 96.112000
344.062439 94.218979
380.813324 93.133858
128.856476 142.050735
154.572861 140.088135
182.230255 138.223221
211.323334 136.343384
242.425674 134.777130
274.795776 133.614349
308.949768 132.267136
344.672974 131.356171
381.297943 130.615845
129.834290 173.365494
155.424408 172.158554
183.164551 171.428986
212.450317 170.301361
243.226364 169.967148
275.366577 169.235855
309.386414 168.580322
345.088806 168.436340
381.521606 168.384583
131.184448 204.237885
157.084198 204.311630
184.705933 204.345383
213.419739 204.233231
244.115097 204.398193
276.374603 204.550339
310.217163 205.151276
345.333832 205.464005
381.702942 206.140579
133.291748 235.648727
158.940582 236.277435
186.272644 237.166733
215.081635 238.040604
245.324738 238.789688
277.309052 240.017044
310.706085 240.867218
345.646057 241.984406
381.590881 243.333405
135.523666 265.869690
161.061447 267.583862
188.149551 269.012421
216.949722 270.561005
246.843063 272.338531
278.387543 274.141968
311.343750 275.803467
346.067322 277.724243
381.432373 279.420959
