image_x image_y
58.576439 148.852463
86.660004 144.744263
117.194267 140.321091
150.291229 136.233459
185.676758 132.029922
223.727112 127.708176
264.642670 123.608330
307.526337 119.762306
352.787018 116.367447
54.479164 184.876328
82.971306 182.060104
113.605370 178.802856
147.170929 175.955414
183.010941 172.501678
221.511871 169.649704
263.121521 166.505081
307.084686 163.702194
352.916870 161.022186
51.354935 222.103668
79.640160 220.430237
110.812286 218.527451
144.579224 216.793533
180.710602 215.137405
219.600052 213.283585
261.543427 211.447693
306.425537 209.566879
352.902222 207.852997
48.794247 260.050110
77.301994 259.770630
108.671844 259.611603
142.447510 259.110168
178.965927 258.549530
218.213989 258.244965
260.580475 257.590149
305.585815 256.878571
352.862793 256.253601
47.345234 298.194977
75.843063 299.710693
107.235405 300.546631
141.191757 301.942963
177.635635 302.771179
217.327774 303.887085
259.562714 304.490204
305.122894 305.206512
352.636597 305.615173
46.940483 336.603271
75.247971 339.544769
106.719391 341.832428
140.511810 344.437286
177.166382 347.170258
216.743423 349.453339
259.268646 351.502289
304.775848 353.391357
352.224304 354.675568
