image_x image_y
398.819702 675.614197
463.438538 672.813171
529.041870 669.912842
595.547913 666.957825
662.715027 663.954773
730.346130 660.894043
798.284607 657.803345
403.625031 742.484497
468.065308 739.919250
533.517151 737.255432
599.819946 734.476501
666.754700 731.522095
734.212830 728.491577
801.957703 725.385925
408.925537 808.840637
473.162415 806.547852
538.389282 804.075806
604.435303 801.416687
671.171875 798.594727
738.354797 795.572327
805.812866 792.419617
414.749542 874.417725
478.700562 872.434387
543.662537 870.172302
609.392578 867.659729
675.827576 864.932251
742.688171 861.950378
809.849365 858.810242
421.076904 939.167969
484.697723 937.422546
549.307129 935.424927
614.688416 933.067200
680.733826 930.415039
747.256714 927.527100
814.057983 924.329773
427.823181 1002.934143
491.088715 1001.470398
555.314453 999.642090
620.315002 997.467102
685.933899 994.955261
752.026428 992.091003
818.392273 988.934265
435.027252 1065.588135
497.906860 1064.382568
561.679688 1062.811279
626.178894 1060.895264
691.399048 1058.393555
757.001038 1055.615845
822.930786 1052.423096
