image_x image_y
1426.265625 185.939575
1505.742310 178.867783
1586.855469 172.187332
1669.280029 166.010284
1752.611328 160.339767
1836.417114 155.345215
1920.326172 151.059067
1430.927002 264.827698
1510.120117 258.846832
1590.933350 253.160690
1673.028320 247.902145
1756.041016 243.071960
1839.568604 238.722504
1923.212280 234.947861
1435.197632 343.143524
1513.938232 338.262390
1594.297485 333.621674
1675.958130 329.266144
1758.591309 325.255341
1841.666138 321.651306
1924.902100 318.441956
1438.983398 420.556824
1517.200684 416.809326
1597.061157 413.198792
1678.126587 409.814026
1760.150757 406.626282
1842.733276 403.742859
1925.443970 401.139038
1442.387695 496.886871
1519.951294 494.267456
1599.138794 491.670776
1679.590454 489.214874
1760.962891 486.896240
1842.825928 484.747528
1924.906128 482.751404
1445.335938 571.909119
1522.244751 570.365417
1600.631226 568.806824
1680.314331 567.279419
1760.922363 565.807556
1841.998291 564.335693
1923.277954 562.968201
1447.962036 645.478577
1524.013794 644.950989
1601.603760 644.397217
1680.422729 643.747192
1760.101196 643.057434
1840.332642 642.345703
1920.741333 641.542175
