image_x image_y
437.141998 188.052063
522.934204 190.582626
610.577942 193.780029
699.761047 197.761810
790.058655 202.502045
880.900208 207.796616
971.880798 213.725449
432.435913 277.600616
518.110291 280.743835
605.694946 284.469452
694.673401 288.783020
784.738037 293.644135
875.378113 298.946564
966.171875 304.779114
428.802826 367.156189
514.229248 370.911865
601.528442 375.086517
690.223450 379.665375
779.993469 384.666107
870.271057 389.984863
960.670837 395.603729
426.186218 456.360504
511.282104 460.635010
598.142822 465.201080
686.422607 470.020050
775.698730 475.148651
865.505920 480.437714
955.432617 485.912689
424.638977 544.777161
509.191132 549.554443
595.525879 554.477112
683.217407 559.534302
771.899658 564.714172
861.103699 569.957520
950.406128 575.249329
423.963348 632.055969
507.890991 637.305054
593.576416 642.552734
680.596436 647.796692
768.559753 653.009033
857.073730 658.207703
945.674255 663.317993
424.283539 717.868958
507.455597 723.542480
592.372253 729.095642
678.567383 734.535095
765.731689 739.779724
853.419434 744.866333
941.165527 749.788330
