image_x image_y
869.106934 279.044769
940.798157 277.991852
1013.659729 277.155518
1087.511719 276.753632
1162.206177 276.571777
1237.571289 276.709320
1313.418823 277.170166
867.286011 351.720856
939.171875 351.221222
1012.149902 350.953522
1086.143311 350.932892
1161.004028 351.124054
1236.571411 351.527893
1312.593384 352.228485
865.673889 424.882965
937.628296 424.964783
1010.703674 425.180145
1084.790894 425.577332
1159.768677 426.183990
1235.433472 426.927185
1311.568481 427.858704
864.252136 498.344086
936.230164 498.978638
1009.376892 499.724121
1083.482422 500.589569
1158.476929 501.567322
1234.186035 502.661499
1310.377197 503.829437
863.072205 571.976624
935.020996 573.163025
1008.089233 574.398926
1082.146729 575.687256
1157.135986 577.050781
1232.817383 578.441772
1308.973877 579.834656
862.074463 645.497803
933.923157 647.271362
1006.880310 648.994507
1080.865723 650.751953
1155.711182 652.467896
1231.262695 654.175842
1307.287109 655.878235
861.322144 718.746826
932.958191 721.062988
1005.775940 723.291260
1079.567993 725.483521
1154.264160 727.563782
1229.643433 729.566284
1305.522949 731.509949
